"Response","Variable","Estimate","Std.Error","p.value"
"TDq0","Bio1",-1.22810381307,1.45696985184279,0.399275188979356
"TDq0","Bio4",1.25881845477091,1.41523123658114,0.373745708298143
"TDq0","Bio12",2.41951772087595,1.43778166505127,0.0924112917198741
"TDq0","Bio15",-5.6227318950005,1.34440074313357,2.88532659140639e-05
"TDq0","Elev_range",4.40075202714148,1.14072456763001,0.000114385629708114
"TDq0","Area",13.2499007303628,1.2132888359841,0
"TDq0","Cro_ext",-1.31969202367087,1.48540709263956,0.374305222403403
"TDq0","For_ext",8.76808521352251,1.41098596576913,5.16016340768033e-10
"TDq0","Pop_d",-0.0470435293061566,1.63102405012548,0.976989853705537
"TDq0","Sam_eff",12.7942599932531,1.56048050338606,2.22044604925031e-16
"TDq0","Time.span",1.45105461339865,1.19576063959548,0.224939009233219
"TDq1","Bio1",-1.47480120902345,0.820322690429062,0.0722038615547753
"TDq1","Bio4",-1.27852787019584,0.797036089750877,0.10869138184042
"TDq1","Bio12",0.572598894060325,0.809599799927145,0.479403890182991
"TDq1","Bio15",-1.89712060663794,0.75643830781954,0.0121428782291708
"TDq1","Elev_range",1.7819232368415,0.642593931028977,0.00555393940214
"TDq1","Area",5.37740129617473,0.68377912681534,3.77475828372553e-15
"TDq1","Cro_ext",-0.0777854496884322,0.836536764091581,0.925915403135049
"TDq1","For_ext",5.27411573267661,0.794699283667895,3.20961035527034e-11
"TDq1","Pop_d",-0.768186029728161,0.918242787679979,0.40282717376761
"TDq1","Sam_eff",4.44864296166766,0.878630982300267,4.12378958314363e-07
"TDq1","Time.span",0.452455542053381,0.673409137886982,0.501654978421376
"TDq2","Bio1",-1.27104414421836,0.593358600532569,0.0321839870413998
"TDq2","Bio4",-1.4970230577401,0.577996135016754,0.00959696286468059
"TDq2","Bio12",0.0643018963802877,0.586121270710154,0.912641356143562
"TDq2","Bio15",-0.820417759198829,0.543555063210567,0.131207989187156
"TDq2","Elev_range",1.05555861853838,0.46701281805834,0.0238066827562391
"TDq2","Area",3.46243579029805,0.49912045919776,4.00302013758846e-12
"TDq2","Cro_ext",0.239732889040556,0.60638589391035,0.692586762770925
"TDq2","For_ext",3.58489518010729,0.576582185685309,5.05163688657717e-10
"TDq2","Pop_d",-0.970283847098724,0.663585346215498,0.143690806793651
"TDq2","Sam_eff",3.08245863041487,0.635676599039643,1.24023643643945e-06
"TDq2","Time.span",-0.0319212578196293,0.48814918552594,0.947861557077394
"FDq0","Bio1",-0.727520682041612,0.146028477346309,6.29152714148873e-07
"FDq0","Bio4",0.33819545581896,0.14124690809217,0.0166495560326814
"FDq0","Bio12",0.108780367256548,0.143849912273766,0.449524860452133
"FDq0","Bio15",-0.707965549320464,0.136097003816393,1.97241511346036e-07
"FDq0","Elev_range",0.319313457419522,0.113374034353181,0.00485560561139953
"FDq0","Area",1.02231508000181,0.119744551988316,0
"FDq0","Cro_ext",-0.0769868888326372,0.148243100464134,0.603531579537657
"FDq0","For_ext",0.620326413586895,0.140612246360171,1.02604732341582e-05
"FDq0","Pop_d",0.0138598591331857,0.163653933136129,0.932507809639483
"FDq0","Sam_eff",1.19029280438468,0.156292292553666,2.62012633811537e-14
"FDq0","Time.span",0.0643287013990353,0.119394839477249,0.590032019724249
"FDq1","Bio1",-0.558385597914957,0.0931358937108381,2.03003147625225e-09
"FDq1","Bio4",0.0214773040985297,0.0902006625138528,0.811799008914939
"FDq1","Bio12",-0.116698121249488,0.0917991913202638,0.203645925364202
"FDq1","Bio15",-0.122555009748106,0.0865508419111629,0.156778827745869
"FDq1","Elev_range",0.158661190075193,0.0724973437680852,0.0286324452804474
"FDq1","Area",0.359895932280259,0.0767308290396551,2.72712256510488e-06
"FDq1","Cro_ext",-0.0555522341158804,0.0946783485836011,0.557373657371797
"FDq1","For_ext",0.454492600179518,0.0898434109399132,4.22081564810384e-07
"FDq1","Pop_d",-0.0883828723726826,0.104347741727665,0.396993331314834
"FDq1","Sam_eff",0.423347807988736,0.0997070964077311,2.17703626188559e-05
"FDq1","Time.span",0.0040704439730776,0.0762380064122879,0.957420160944642
"FDq2","Bio1",-0.41713285939698,0.0732043638908204,1.21081358273045e-08
"FDq2","Bio4",0.0148666580878523,0.0708480497961772,0.833793617640878
"FDq2","Bio12",-0.119908504118314,0.0721313642697371,0.0964400323199601
"FDq2","Bio15",-0.00364129366373578,0.06813710930658,0.957380791104867
"FDq2","Elev_range",0.107618506429897,0.0569019869430314,0.0585848279911521
"FDq2","Area",0.209111230235488,0.0601559911031137,0.00050866827081264
"FDq2","Cro_ext",-0.0652361941821437,0.0743614920893574,0.380332057644966
"FDq2","For_ext",0.369979418545256,0.0705474313326764,1.56786054583691e-07
"FDq2","Pop_d",-0.0805320646788466,0.0820299616247179,0.326228133237645
"FDq2","Sam_eff",0.255076220688907,0.0783588414932725,0.00113299708666847
"FDq2","Time.span",0.00878575030694817,0.059884658474107,0.883359975303525
