HYBAS_ID,TDq0,TDq1,TDq2,Obs_TDq0,Obs_TDq1,Obs_TDq2,FDq0,FDq1,FDq2,Obs_FDq0,Obs_FDq1,Obs_FDq2,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HFP,HMG,Sam_eff,coverage_rate,Num,year_count,year_range,Time span,convex_hull_area,Bio4,Elev,Year,eff,Pop_d,Pop_c,Longitude,Latitude
7040019010,9.040422565,7.572480209,6.592045759,9,7.524446285,6.545454545,1.842401736,1.737371847,1.6689941,2.320236077,2.139308502,2.014987895,1537.416,748,4,23900.611,456,1.256896936,9.94219706,2.501163362,920.5070861,31.94875891,2455,415,57,0,51785.6,2288.303651,923,2.009801109,0.01965398,308.9661991,0.004196704,16,3,2,3,217.7555334,779.8333906,1089.631648,5.333333333,734.7689287,0.863,43.181,-127.4852852,55.2197651
1040019430,29.89370023,21.16728893,17.03310582,24,18.54014229,15.4499179,3.001259894,2.504987126,2.292831896,4.475134525,3.736404175,3.338525874,0.099,293,6,20742.559,303,24.31187091,8.805364292,25.85427182,916.1777668,90.90223459,1481,76,69,1,76150.4,1647768.462,533,7.154734353,0.284034378,236.3743329,0.003232024,18,2,1,2,246.0663782,151.1998805,470.5807669,9,731.5099337,63.212,4673.664,14.13470805,-7.714814185
2040039400,45.37966797,32.77677271,27.09049821,43,31.83291454,26.41876597,8.34334287,6.600682855,5.937498897,9.44453639,7.530939003,6.665393266,3.446,415,15,1718.142,247,0.029591706,7.148627519,9.996739242,496.8171366,34.03463628,1187,119,10,0,9070,3029.872871,811,1.613412786,0.056491714,2094.818082,0.046020635,19,10,49,50,417.6008021,904.7549582,183.656234,1.9,454.979969,10.155,83.799,31.79838746,69.38165175
2040004140,15.16129859,11.90496857,9.925595433,16,12.60080304,10.57122905,2.603091078,2.140412338,1.926393594,3.469362278,2.921091268,2.610604127,0.019,219,16,342.049,422,11.61286371,9.071031102,9.573797151,819.5849164,30.28218898,3645,169,27,50,2945.6,330723.5289,767,14.81841844,0.312337273,3394.894079,0.147450274,10,7,41,42,434.5038674,702.4309119,1232.150133,1.428571429,230.1475487,244.504,707.907,36.20963418,41.22601626
1040011660,18.1562318,10.42423552,8.337588808,13,9.197777047,7.75088968,3.280176298,2.732015979,2.513217661,3.469415279,2.954592278,2.733866818,3896.251,310,18,10825.605,99,25.06975268,13.22024711,27.29306395,969.7968784,90.80129718,578,38,79,4,11174.1,11781.51682,418,8.248129846,0.195231873,984.4193268,0.047057583,11,1,0,1,526.0342505,259.1127612,153.8655094,11,209.111859,18.964,207.632,34.92642406,-18.03818133
4040027790,16.47878463,13.18920292,10.4647376,13,10.53682537,8.827586207,2.776494748,2.360699206,2.137928086,3.081381879,2.665133208,2.408900898,5.647,305,80,2597.638,66,27.96039422,8.919442251,28.45993042,1094.48969,102.8868543,673,17,9,67,13671.6,1213460.687,641,20.20095818,0.662062742,731.4432839,0.0429289,10,2,1,2,586.614301,284.7229107,51.12614804,5,170.4697615,532.092,7147.379,81.2609919,16.6770449
2040024180,23.77354744,11.47005377,8.424557676,31,11.80379176,8.528007519,3.92615245,2.306696144,2.089369719,6.233376918,2.96305731,2.52385017,1.603,478,31,136.416,40,8.78279776,7.674004376,16.72731979,533.3643967,22.2235556,132,11,4,31,917.5,1893338.602,922,5.694691491,0.494883104,81743.86921,0.860321218,75,22,35,36,788.7622714,670.5420537,23.49462366,3.409090909,950.8568389,643.206,580.636,9.746315777,53.71135093
7040048310,70.26838567,19.13954566,12.40653289,25,15.2258809,11.51226158,9.733289107,2.568552384,2.080121464,5.472082383,3.296658269,2.729513309,0.126,405,40,759.35,15,20.53116328,11.17411278,25.41617656,1145.226572,27.02402177,131,7,28,36,4302.4,78719.47074,908,6.668927086,0.313364161,6972.852361,0.21536092,30,11,17,18,927.9991172,638.6935529,30.1534101,2.727272727,323.2761696,11.046,46.857,-95.94245467,29.24759323
4040012780,33.11984743,26.1906536,16.6390743,20,16.11564348,12.37373737,3.437041772,2.622060636,2.305809769,4.226611372,3.444951237,2.926703392,2.228,1056,78,2352.877,139,21.84370894,7.124532624,26.7806909,1778.73517,67.85939935,1056,38,14,45,8124.2,75122495.25,775,29.3669278,0.674839784,1353.979469,0.117583873,11,8,8,9,954.5924292,574.4289981,71.5024022,1.375,115.2324245,2607.673,19911.836,113.3993113,23.07348886
2040292580,10.33009342,9.24932717,8.187686479,10,8.710555444,7.681818182,2.480509367,2.325364755,2.175916357,2.861500616,2.644825059,2.467325375,2851.05,156,5,9986.535,105,3.830621868,7.760393511,16.89996998,588.0754182,31.31981218,179,19,56,24,14233.8,387577.0107,788,10.76079028,0.320101854,772.8083857,0.077124724,11,5,13,14,1097.415285,1088.467021,119.289153,2.2,100.2355275,51.001,704.051,44.57191793,56.37772908
