"Index","Obs_Estimate","Obs_SE","Obs_p","Obs_R2","Obs_Signif","Std_Estimate","Std_SE","Std_p","Std_R2","Std_Signif"
"TDq0",0.786558248328725,0.0811243501050425,1.64109745436256e-20,0.155918530696305,"***",0.41860746085964,0.0627750409432787,6.75216990512085e-11,0.0803429983951046,"***"
"TDq1",0.207268089316394,0.0326755299345155,4.97395219875124e-10,0.0732716046389137,"***",0.144747517576237,0.0326001731729226,1.10356428464062e-05,0.0372873345422248,"***"
"TDq2",0.123579088210503,0.0215826105058173,1.76086060918876e-08,0.00721836166379941,"***",0.0772753962179303,0.0226866747562655,0.000710829856630902,0.0222891921882005,"***"
"FDq0",0.109110051522903,0.0110524618535097,3.78588195950919e-21,0.160698467927014,"***",0.0510313058082358,0.00648094641871473,2.08652194194017e-14,0.108582508134913,"***"
"FDq1",0.0318934058621149,0.00507929746573698,7.30457351060231e-10,0.0718911852994726,"***",0.0174820800458866,0.00362316563588368,1.85232501090633e-06,0.0437389652692679,"***"
"FDq2",0.0177380860999964,0.00339006607782691,2.45022158792808e-07,0.0425479864144033,"***",0.0102656360365934,0.00275662560112438,0.000218011205654572,0.0265255847213651,"***"
