,HYBAS_ID,Nat_dis,LSR,IE_lmx,IE_amn,IE_amx,Riv_a,Riv_v,GTD,Act_eva,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,Elev_range,Elev,Str_gra,Ter_slo,For_ext,Cro_ext,Area,Pas_ext,PAE,GDP,HDI,HFP,HMG,Sam_eff,Pop_d,Pop_c
13,1040015860,0,14,7,4,5,10936.167,41790.527,1078,130,19.6365779,13.99706225,65.59332802,269.8670726,29.7005123,8.289980795,21.41053151,22.11716802,16.66620473,22.51828072,15.99873164,146.0050714,40.64667939,0.334383533,103.1569379,104.8552947,1.860104289,72.27560889,2.865836248,2599,863.2744613,105,38,0,1,261113.2,47,64,45090.32636,640,2.703495329,0.037648044,559.144463,2.466,641.506
14,1040018120,221.718,113,5,3,4,22217.396,359286.563,359,609,20.80775332,13.16415386,60.48861993,242.0003041,30.48324935,8.637070541,21.84617882,22.13323584,17.37297092,22.99695632,17.3029969,762.7757299,174.9754765,0,104.4443012,441.3374712,0.430041277,196.7969148,2.811946097,2460,1291.785996,62,25,30,3,108945.8,47,23,20859.60443,548,6.424716475,0.319514693,229.4719025,22.82,2496.537
15,1040019430,0.099,293,6,2,5,20742.559,279952.031,303,680,24.31187091,8.805364292,65.0304455,151.1998805,30.55373109,17.0017734,13.55195768,25.85427182,22.37560859,25.8631062,22.18911232,916.1777668,207.9104892,3.144696011,90.90223459,468.3085601,12.96910254,464.5132026,21.32707841,1481,470.5807669,76,41,69,1,76150.4,39,0,1647768.462,533,7.154734353,0.284034378,236.3743329,63.212,4673.664
16,1040020570,4804.906,709,5,1,2,88144.266,2257073.25,163,1342,24.25263074,8.791083135,74.41872861,95.61946579,30.28084402,18.51554929,11.76529473,24.36142725,22.98729577,25.2246236,22.90050462,1801.885247,311.9821041,14.83094056,63.55087519,742.8513343,79.77851374,589.404647,88.04532033,965,448.1342293,54,46,91,1,215213.9,2,11,29190.85572,681,3.31395687,0.106526727,1231.333106,4.059,868.256
17,1040020580,8.359,1096,11,4,8,46622.801,704055.875,136,1297,24.24781644,7.896666003,74.79440155,84.74479774,29.80703767,19.26056824,10.54646943,23.94064694,24.02299925,25.14554507,23.10013537,2038.790358,367.0871681,29.27924454,62.33973129,854.6938755,140.7271395,537.3508358,349.6918487,1162,460.1761049,53,42,81,4,113357.7,1,13,513687.6911,587,6.216158031,0.155591969,158.7893897,42.83,4824.095
18,1040022430,5.373,592,12,5,10,59968.039,771032.563,122,1027,26.41465947,9.540620669,68.71801264,135.0850707,34.24863617,20.29317962,13.95545656,25.1982365,26.84276981,28.1602267,24.71243497,1413.881981,242.8338023,10.39369545,71.68957249,631.8392341,51.5684599,231.9648387,590.2924233,940,196.7720637,32,16,46,47,196951.9,4,14,2101488.983,509,10.10365116,0.460460282,482.3512746,261.026,50522.551
19,1040023310,0.124,357,12,5,10,16226.081,159806.719,141,1181,26.19235322,7.736765637,71.08610316,106.9141314,32.1864294,21.30070471,10.8857247,26.59305921,26.72723859,27.44337864,24.73983992,1460.498692,253.9807299,22.92294273,57.19637876,598.3126937,125.5039252,328.4008952,335.941616,819,160.0520257,31,30,17,18,74783.4,1,20,807374.3167,570,10.49757804,0.528751243,401.1585459,212.137,15627.504
20,1040024080,0.433,1215,14,5,11,182129.094,3217501.5,131,1201,25.99655401,11.78677422,68.24240007,123.3172048,35.00891845,17.40791182,17.60100663,25.20731932,25.87111012,27.58552762,24.65630959,2272.819671,499.3842126,16.7657984,91.55581106,1238.659408,82.72556654,302.7405457,842.8222406,1693,217.3434473,49,33,38,8,358341.1,11,9,96337.51881,430,7.344590276,0.277736164,798.122236,64.819,22514.379
21,1040026800,143.102,117,6,2,4,17395.555,316661.156,137,725,27.44705983,12.87176054,57.40186686,234.857583,38.67012121,16.26208404,22.40803718,26.52085656,26.62729582,30.66260846,24.95287109,904.0343726,259.1856466,0.080360335,130.5240901,676.1021373,0.85891092,85.81381132,6.802842082,1468,124.5671477,29,15,13,10,72618.4,28,20,21850.55214,477,7.855997934,0.313543534,564.595199,29.342,2116.872
22,1040028960,240.905,48,3,1,1,12199.811,180869.281,603,121,20.12180692,13.13398609,40.43763373,682.7071828,37.07770803,4.281577226,32.7961308,14.93228068,27.37245709,28.74589322,11.78915474,141.2218308,24.91751439,0.859908228,67.73965043,64.53496656,5.798848966,6.65428527,55.81021154,3888,847.394937,96,53,0,1,95886.5,20,38,8712.716829,669,4.349319855,0.08524817,365.0148874,9.513,906.886
23,1040028970,0.005,58,22,9,16,6785.869,35724.23,595,261,17.1871439,11.57198994,45.29763784,491.2984387,30.5336263,4.701471894,25.8321544,12.21004249,23.14377244,23.36958803,11.16744795,293.2306995,48.70770427,1.138599061,70.24681475,130.7902379,8.986726061,10.6972904,124.2620607,3954,722.5365083,160,68,2,31,74061.5,40,16,398476.2702,647,11.36679604,0.306022578,1417.740661,101.515,7380.938
24,1040029430,81.611,77,18,8,13,5246.233,47928.652,460,391,15.56592775,12.9200713,41.81281449,641.6834853,32.68141765,1.64712409,31.03429354,10.35977288,23.64377411,23.83795748,8.119634087,411.088117,61.0693192,2.497207023,61.43211339,165.1034831,18.09227308,19.70567937,153.2020666,3839,1035.45902,169,68,6,51,38046.5,36,11,260802.7211,647,12.27729328,0.412837637,841.0760517,89.361,3400.126
25,1040029700,135.366,130,20,7,13,7412.248,80701.094,428,499,16.15227942,11.87887004,41.3179756,594.8514619,32.34044774,3.496890801,28.84355694,11.04744503,23.64300899,23.86164789,9.240564004,531.2001617,83.88091434,2.282064778,63.2056461,225.63278,19.42250503,20.08874561,215.0528225,2903,698.5217963,144,74,14,63,37812.3,31,14,717969.9479,647,14.53647546,0.477407812,766.9462053,167.025,6305.763
26,1040029710,0.252,274,24,4,16,1381.399,8307.914,309,607,17.89580049,10.04622198,40.76791353,506.8290877,31.06232902,6.382437318,24.67989172,12.04338115,24.0306595,24.37876457,11.81467516,764.9980053,143.662519,0.559745441,82.08168137,392.6136018,10.78856383,14.91042933,389.7929331,1574,186.8705357,76,56,42,55,7415.2,28,8,2731770.523,647,15.92849633,0.495877667,1348.581292,258.318,1860.438
27,1040029810,0.366,83,19,7,13,24463.094,143340.609,451,371,16.20815767,11.80897956,39.23268325,659.0173645,33.17037317,3.033671723,30.13670144,11.10802047,24.57081645,24.69222626,8.626700786,444.354885,64.782271,4.736086217,50.70933613,179.2092426,29.1871544,35.35962658,169.5077326,3620,681.7691091,110,52,11,31,275925.8,33,11,1418953.292,717,12.91240827,0.450983106,590.7385246,153.884,41013.855
28,1040034260,1934.054,7,4,2,3,141502.406,8914586,595,33,26.00416817,15.8710684,51.97970624,555.6868154,40.13795661,9.495744485,30.64221209,28.450103,21.47278248,31.72144046,18.42022678,41.3546591,19.67374493,0.000496549,103.8448735,37.30087062,0.02681165,12.92010995,0.689539831,1731,397.3239899,30,12,0,2,797088.8,12,3,595150.1293,548,3.644312212,0.098182601,107.8926212,63.533,45699.145
29,1040034270,0.004,3,35,8,28,991.011,7891.944,256,51,20.52176435,11.84137353,46.14178734,534.4342381,32.82899126,7.28916614,25.53982511,14.11786966,26.48140669,26.58355888,13.66782326,59.37023331,14.7280609,0,81.54689362,36.66099246,0.00348911,0.055438077,36.46524988,598,44.76083739,17,3,0,53,20936.3,3,4,9808673.215,691,28.06946234,0.659876771,1003.042562,1350.503,27904.471
30,1040034610,0.2,63,4,2,2,357.62,370.791,662,277,17.72583735,7.320260069,48.1965049,283.4261194,26.18558698,11.00018187,15.1854051,15.08255131,20.72308357,21.50463915,14.59120519,304.3331818,56.35373284,1.109211603,78.96980871,150.5270528,6.320087297,17.6627262,135.1624079,3533,546.5799764,604,122,11,0,8752.8,0,41,4138821.225,855,19.18585265,0.380980064,28448.03948,284.499,2327.835
31,1040034900,0.905,103,17,16,16,429.949,1119.854,919,78,24.3748399,7.693295044,62.38636426,130.5959752,30.65745194,18.32603223,12.33141971,23.24151028,25.86253404,26.30159711,22.9431773,119.3813204,26.33031574,2.993376021,63.47601218,52.37138441,15.22234489,17.14219475,30.52793111,1399,304.0933981,180,85,2,13,3938.8,64,0,13633.52818,477,6.961583422,0.213354392,37828.78034,14.066,53.6
32,1040035590,432.578,284,5,2,3,16263.651,288227.344,363,792,22.04450679,12.81549944,62.88340617,269.1495803,31.34097296,10.96445516,20.37651779,24.60027993,18.37710093,24.68160016,18.27558868,971.9284428,246.5085073,6.313681368,111.311643,643.025638,22.85983276,583.326152,23.2535931,2521,726.684954,100,57,7,7,54938.2,55,1,27055.97139,512,7.420151685,0.205759893,182.0227092,27.053,1476.872
33,1040036860,1619.824,971,14,4,10,33049.59,745448.813,246,994,22.41113213,12.59372018,68.41924426,193.3017229,30.90965078,12.50380938,18.4058414,23.97029481,19.75801734,24.26677754,19.67550424,1475.409205,377.0736692,4.344561056,114.3648711,968.0488799,16.10612964,684.1663197,16.41917641,2497,805.2506296,105,64,6,6,56180.1,54,1,201940.881,512,8.785192976,0.224476313,480.5972221,73.926,4092.437
