"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,20.4839,0.5041,40.6374,0,0.357925588959274,0.0440630066506953,0.482427090272258
"Nat_dis","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,2.2113,0.4268,5.1807,0,0.357925588959274,0.0440630066506953,0.482427090272258
"LSR","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,1.0841,0.5591,1.9391,0.0525,0.357925588959274,0.0440630066506953,0.482427090272258
"GTD","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,1.415,0.5703,2.4811,0.0131,0.357925588959274,0.0440630066506953,0.482427090272258
"Bio8","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,-1.5152,0.5306,-2.8554,0.0043,0.357925588959274,0.0440630066506953,0.482427090272258
"Str_gra","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,-1.3805,0.6454,-2.1391,0.0324,0.357925588959274,0.0440630066506953,0.482427090272258
"For_ext","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,3.3281,0.4793,6.944,0,0.357925588959274,0.0440630066506953,0.482427090272258
"Area","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,2.8092,0.4274,6.573,0,0.357925588959274,0.0440630066506953,0.482427090272258
"GDP","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,-1.1477,0.4204,-2.7298,0.0063,0.357925588959274,0.0440630066506953,0.482427090272258
"HDI","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,2.0692,0.5353,3.8652,1e-04,0.357925588959274,0.0440630066506953,0.482427090272258
"HMG","Obs_TDq2",3854.47361153614,3733.45775352448,3719.07729968884,1.9958,0.4668,4.2752,0,0.357925588959274,0.0440630066506953,0.482427090272258
