HYBAS_ID,Sta_TDq0,Sta_TDq1,Sta_TDq2,Obs_TDq0,Obs_TDq1,Obs_TDq2,Sta_FDq0,Sta_FDq1,Sta_FDq2,Obs_FDq0,Obs_FDq1,Obs_FDq2
1040008480,32.70766325,19.39885286,14.06031141,33,19.4618494,14.090148,3.416780395,2.73231479,2.487774939,5.528477154,3.921337259,3.280589263
1040009450,63.11466828,37.94969751,26.09049042,44,30.71223657,23.28349945,3.817474536,3.078794947,2.71400781,6.737721804,5.172064996,4.310376646
1040011660,18.1562318,10.42423552,8.337588808,13,9.197777047,7.75088968,3.280176298,2.732015979,2.513217661,3.469415279,2.954592278,2.733866818
1040011670,41.76311806,26.31385165,18.27429697,38,24.80922824,17.65743945,3.614357038,2.983862598,2.697084148,6.106990116,4.549823056,3.736019738
1040012680,41.12292186,24.44349541,16.93929718,48,25.92557277,17.58908343,3.740943995,3.193585095,2.910528882,7.196930678,4.867778731,3.943195977
1040012690,25.2935038,13.97433349,9.86963202,26,14.19885132,9.963121501,3.306789085,2.745803257,2.57041791,4.854302711,3.452261863,2.959928693
1040012810,41.13410901,26.96394978,19.97406033,44,28.0214188,20.58553236,3.783069612,3.34069067,3.049053989,6.852539487,5.144296663,4.30756157
1040012820,41.89168125,27.37572283,20.17741464,54,29.57789452,21.38666176,3.677216977,3.015861991,2.726095334,7.688371742,5.068395618,4.158608186
1040014500,22.33636533,15.33576266,12.37489352,28,16.30926856,13.01951128,3.255279287,2.536932539,2.247848061,5.250037994,3.571334038,3.104952843
1040014920,21.4402988,14.83102317,12.04981587,19,13.89431657,11.48840049,3.40595783,2.697777948,2.350601885,4.30245653,3.453242464,3.035103632
1040014930,32.17470195,19.56595476,14.80007955,35,19.98865602,15.01604278,4.091601576,3.051267805,2.669182453,6.368288129,4.251658799,3.582646142
1040015030,34.89102593,15.3549142,10.25831745,40,15.91983477,10.41318738,5.182938683,3.05724275,2.620427075,7.639435371,3.895950746,3.111423366
1040015860,23.18540384,14.40765868,11.24408672,27,15.31543909,11.7711394,3.165145537,2.760583767,2.570202849,4.906866665,3.610416134,3.181939873
1040018120,26.46073698,19.80785037,16.17441111,27,20.09022352,16.40334728,3.486753652,3.044900051,2.788400065,5.119108335,4.231450985,3.749217509
1040019430,29.89370023,21.16728893,17.03310582,24,18.54014229,15.4499179,3.001259894,2.504987126,2.292831896,4.475134525,3.736404175,3.338525874
1040020570,48.50729331,31.16693181,23.94224858,63,33.16230654,25.04916049,4.077851761,3.083540071,2.758837734,8.712462689,5.407863643,4.48504157
1040020580,37.29846069,30.49352711,24.73371903,30,24.55625568,20.75645756,3.767455372,2.886811278,2.563890186,5.231686657,4.414991394,3.933022272
1040022430,73.76807253,49.4146207,38.57866819,95,52.68892108,40.60300253,9.120756839,6.262645059,5.154735848,15.13405736,9.475004609,7.726040199
1040023310,42.54226794,27.80197504,18.84804882,41,26.7751206,18.42191781,3.710857692,2.742318669,2.44479185,6.235210955,4.546932632,3.632591326
1040024080,55.32596055,34.48580415,24.54522302,67,36.52096226,25.5158235,3.935254858,2.886484289,2.569257255,9.002090819,5.587638775,4.403023914
1040026800,22.02954186,15.10028283,11.56367494,21,14.64376575,11.30756303,2.791306013,2.46652723,2.347827634,4.011857819,3.305010294,2.936310416
1040028960,19.60845766,11.08766123,7.601706391,17,10.20222045,7.314694408,4.311635183,2.872767783,2.366286597,4.670785187,3.206914437,2.628616329
1040028970,42.77987484,24.87130605,18.75207632,44,25.05029068,18.8408843,6.645019761,3.63061938,2.931666682,8.684599608,5.100260103,4.101329899
1040029430,37.56504869,23.51396833,16.68838021,34,22.09071809,16.09267111,6.361895642,3.757865615,3.210157625,7.359273124,4.949561941,4.06084241
1040029700,31.28346926,23.20275175,18.84408675,28,21.1853638,17.55844156,5.718093172,3.487948382,2.694484399,6.712379882,4.682383381,3.858691818
1040029710,14.58370508,12.06572907,9.213703021,11,9.03100077,7.450704225,2.899725759,2.807286583,2.645168111,3.374885113,3.050979973,2.793729923
1040029810,76.01103123,34.4703333,22.20541784,72,33.98135493,22.07647795,10.45935878,5.088920488,3.621873045,13.10377696,6.908945324,4.93623528
1040034260,11.22351396,8.443366355,7.183643582,13,9.000522247,7.658985021,2.707110883,2.538729862,2.44395164,3.287442147,2.863513917,2.707219119
1040034270,12.29414691,7.298911954,6.113277031,10,6.853225448,5.885043263,2.458606175,2.109238182,2.030058102,2.700668397,2.33383357,2.204949768
1040034610,7.102751358,5.615658996,5.013236788,14,6.087464933,5.36200513,2.374812864,2.169046386,2.090923467,4.554535922,2.615015904,2.443598576
1040034900,11.59222747,9.520629952,8.297521759,13,10.4602846,9.353287012,2.548175455,2.33631073,2.241786895,3.237608909,2.884668816,2.737281729
1040035590,14.07502282,10.81063407,8.898885573,12,9.418643186,8.005847953,3.272135148,2.625132426,2.33165094,3.404187295,2.928280968,2.655136591
1040036860,14.79708172,8.710290029,5.884824973,13,8.072376332,5.67862969,4.229928397,3.392810116,2.919841221,4.215442437,3.344584358,2.870423491
1040036870,64.30244983,19.95831138,10.54906554,50,18.9927507,10.44428688,6.402634809,4.014792599,3.160590751,8.681503423,4.819933737,3.516472047
1040040050,18.43281089,11.29264646,9.014224634,13,9.772453332,8.229314421,3.122565144,2.569764469,2.288735386,3.400869844,2.896421876,2.605631098
