"","i"
"400",4040048900
"401",4040028760
"402",7040024300
"403",2040006600
"404",7040013170
"405",7040065760
"406",4040025460
"407",4040960200
"408",7040047860
"409",5040011800
"410",5040031240
"411",4040027940
"412",4041128330
"413",4040960480
"414",6040009770
"415",4040027790
"416",4041144880
"417",2040309560
"418",5040017830
"419",7040024830
"420",2040048590
"421",7040050000
"422",4040169400
"423",4041108580
"424",5040038940
"425",2040075170
"426",2040289120
"427",7040019010
"428",7040054670
"429",3040481930
"430",2040292580
"431",4040000890
"432",2040005130
"433",6040870380
"434",4040047500
"435",4040027780
"436",7040005410
"437",2040068720
"438",4041108500
"439",2040070050
"440",4041144860
"441",6040870370
"442",6040029280
"443",2040069160
"444",2040085590
"445",2040085990
"446",2040018370
"447",2040018240
"448",2040077580
"449",4040013000
"450",1040041020
"451",4040015000
"452",7040070790
"453",4040234270
"454",2040816870
"455",6040016970
"456",4040031830
"457",4040015010
"458",4040050300
"459",6040005490
"460",6040005190
"461",2040292690
"462",4040015090
"463",2040068680
"464",6040019090
"465",4040012780
"466",7040050640
"467",5040017040
"468",2040085960
"469",6040015950
"470",2040085500
"471",4040046100
"472",6040026140
"473",7040050650
"474",2040816320
"475",2040004130
"476",2040067740
"477",7040073660
"478",1040040050
"479",2040085710
"480",1040909890
"481",2040073580
"482",4040050240
"483",2040084130
"484",2040085670
"485",2040071700
"486",2040070060
"487",2040065960
"488",2040003560
"489",2040077470
"490",2040004280
"491",2040079320
"492",2040085620
"493",4040484760
"494",2040066030
"495",4040545530
"496",2040070510
"497",2040085690
"498",2040828790
"499",2040072590
"500",2040085730
"501",4040223160
"502",2040072930
"503",2040085930
"504",2040072920
"505",2040004140
"506",2040085630
"507",2040081260
"508",2040065840
"509",2040085700
"510",6040075410
"511",6040015940
"512",6040527680
