HYBAS_ID,TDq0,TDq1,SR,SH,FDq0,FDq1,FRic,Taxonomic.Observed,Proportion
1040008480,33,19.4618494,33,2.968456108,5.528477154,3.921337259,7.30896916,19.4618494,1.003247436
1040009450,44,30.71223657,44,3.424661161,6.737721804,5.172064996,7.673388108,30.71223657,0.809288047
1040011660,13,9.197777047,13,2.21896183,3.469415279,2.954592278,5.384942694,9.197777047,0.882345476
1040011670,38,24.80922824,38,3.21121569,6.106990116,4.549823056,7.30896916,24.80922824,0.9428201
1040012680,48,25.92557277,48,3.255229847,7.196930678,4.867778731,7.30896916,25.92557277,1.060632791
1040012690,26,14.19885132,26,2.653161069,4.854302711,3.452261863,6.875693344,14.19885132,1.016066443
1040012810,44,28.0214188,44,3.332969175,6.852539487,5.144296663,7.30896916,28.0214188,1.039217882
1040012820,54,29.57789452,54,3.387027276,7.688371742,5.068395618,7.30896916,29.57789452,1.080442504
1040014500,28,16.30926856,28,2.79173357,5.250037994,3.571334038,13.7985666,16.30926856,1.063479458
1040014920,19,13.89431657,19,2.631479877,4.30245653,3.453242464,6.081801707,13.89431657,0.936841404
1040014930,35,19.98865602,35,2.995164914,6.368288129,4.251658799,13.14283812,19.98865602,1.021603917
1040015030,40,15.91983477,40,2.767565802,7.639435371,3.895950746,18.54345315,15.91983477,1.036790865
1040015860,27,15.31543909,27,2.728861411,4.906866665,3.610416134,5.384942694,15.31543909,1.063006796
1040018120,27,20.09022352,27,3.000233305,5.119108335,4.231450985,6.875693344,20.09022352,1.014255618
1040019430,24,18.54014229,24,2.919938235,4.475134525,3.736404175,5.544221668,18.54014229,0.875886484
1040020570,63,33.16230654,63,3.501413886,8.712462689,5.407863643,15.40965908,33.16230654,1.064022174
1040020580,30,24.55625568,30,3.200966636,5.231686657,4.414991394,6.575471708,24.55625568,0.805294041
1040022430,95,52.68892108,95,3.964405207,15.13405736,9.475004609,23.415425,52.68892108,1.066261773
1040023310,41,26.7751206,41,3.287473121,6.235210955,4.546932632,7.30896916,26.7751206,0.963065414
1040024080,67,36.52096226,67,3.597886404,9.002090819,5.587638775,15.40965908,36.52096226,1.059014373
1040026800,21,14.64376575,21,2.684014699,4.011857819,3.305010294,4.833788396,14.64376575,0.969767647
1040028960,17,10.20222045,17,2.322605388,4.670785187,3.206914437,15.16692098,10.20222045,0.92014179
1040028970,44,25.05029068,44,3.220885432,8.684599608,5.100260103,22.3687113,25.05029068,1.007196431
1040029430,34,22.09071809,34,3.095157525,7.359273124,4.949561941,20.15006836,22.09071809,0.939472138
1040029700,28,21.1853638,28,3.053310556,6.712379882,4.682383381,19.09241863,21.1853638,0.913053935
1040029710,11,9.03100077,11,2.200663189,3.374885113,3.050979973,11.4139996,9.03100077,0.748483637
1040029810,72,33.98135493,72,3.52581199,13.10377696,6.908945324,24.6086684,33.98135493,0.985814516
1040034260,13,9.000522247,13,2.197282603,3.287442147,2.863513917,4.530242425,9.000522247,1.065987412
1040034270,10,6.853225448,10,1.92471941,2.700668397,2.33383357,3.994025192,6.853225448,0.938937953
1040034610,14,6.087464933,14,1.806231728,4.554535922,2.615015904,7.90983101,6.087464933,1.08401613
1040034900,13,10.4602846,13,2.347585666,3.237608909,2.884668816,2.055931481,10.4602846,1.098696688
1040035590,12,9.418643186,12,2.242691043,3.404187295,2.928280968,10.55505437,9.418643186,0.871238739
1040036860,13,8.072376332,13,2.088447904,4.215442437,3.344584358,11.30995185,8.072376332,0.926763208
1040036870,50,18.9927507,50,2.944057364,8.681503423,4.819933737,19.29098538,18.9927507,0.951621124
1040040050,13,9.772453332,13,2.279567543,3.400869844,2.896421876,4.427301007,9.772453332,0.865382032
1040040200,14,10.96924732,14,2.395095659,3.131148407,2.809998114,2.055931481,10.96924732,0.875574395
1040040240,23,15.98104887,23,2.771403574,4.434875655,3.55528838,5.384942694,15.98104887,1.036487365
1040040320,19,13.25296367,19,2.584221201,4.153195511,3.432441642,5.384942694,13.25296367,0.658580943
1040040340,10,8.337729917,10,2.120790987,2.782202973,2.503451617,1.651077252,8.337729917,1.005512412
1040040520,21,13.40067273,21,2.595304909,4.993936588,3.383419294,15.77313064,13.40067273,0.762877734
1040041020,19,14.38247922,19,2.666010745,3.773797677,3.211340684,4.530242425,14.38247922,0.703429342
1040601190,17,12.06269229,17,2.490117407,3.749955901,3.115160521,4.833788396,12.06269229,0.840053693
1040601200,22,14.71561229,22,2.688908991,4.261003584,3.389165412,4.530242425,14.71561229,0.859341924
1040837890,77,22.72844099,77,3.123617047,11.40594339,5.619653673,20.99205543,22.72844099,1.038226529
1040873640,35,22.06984887,35,3.094212372,5.717236107,4.209573648,7.30896916,22.06984887,0.977649107
1040909890,93,59.56603281,93,4.087085492,14.94472945,10.05999697,24.36230352,59.56603281,1.007358898
1041156960,61,39.05647579,61,3.665008696,8.498267948,5.907437239,15.40965908,39.05647579,0.951431046
1041174950,22,17.83992899,22,2.881439146,4.639914059,3.757481077,15.36684042,17.83992899,0.623352373
1041259940,55,25.67279688,55,3.245431944,7.854850881,4.491843383,15.40965908,25.67279688,1.010928557
1041259950,24,19.5461005,24,2.972775804,4.576161872,3.946776598,5.384942694,19.5461005,0.96836799
1041431480,28,17.59381113,28,2.8675472,5.017441558,3.69284834,7.30896916,17.59381113,0.912712815
1041431680,30,21.85293106,30,3.084335057,5.19587412,4.226170698,6.338113305,21.85293106,1.021584602
1041438780,30,17.74162181,30,2.875913394,5.041999958,3.7598347,5.384942694,17.74162181,0.898503543
1041438860,37,24.34538057,37,3.192342122,5.962528775,4.45621372,7.30896916,24.34538057,1.028580306
1041472390,27,18.75701899,27,2.931568029,4.903237391,3.855779645,6.77138912,18.75701899,0.95422475
1041472430,36,22.52191794,36,3.114488966,5.975726405,4.447033121,7.30896916,22.52191794,0.942395578
1041473880,41,28.91857074,41,3.364483975,6.406745599,5.018242109,6.875693344,28.91857074,1.004315851
1041473950,39,27.68609774,39,3.320930401,6.09170914,4.735268973,7.30896916,27.68609774,1.057877032
1041477980,33,25.1742244,33,3.22582063,5.667292015,4.695727439,7.30896916,25.1742244,1.053395046
1041478080,21,13.39918076,21,2.595193568,4.217544628,3.268559021,4.530242425,13.39918076,1.002047873
1041515680,50,27.20129544,50,3.303264599,7.639412258,4.755218458,20.50674509,27.20129544,1.066133841
1041515780,25,18.4478196,25,2.914946185,4.963278938,3.809877527,14.87044075,18.4478196,0.935477431
1041533130,20,14.93758775,20,2.703880704,4.122829999,3.403789233,5.384942694,14.93758775,0.914245854
1041548760,39,24.06713656,39,3.180847282,6.265934122,4.56337752,7.30896916,24.06713656,1.072463326
1041576090,46,26.5586445,46,3.279355288,6.965817494,4.864267477,7.30896916,26.5586445,1.051659755
1041576130,51,24.45135573,51,3.196685664,7.454605778,4.677945078,7.30896916,24.45135573,1.050081106
1041620200,16,11.75933646,16,2.464647517,3.668482357,3.157842139,4.848725461,11.75933646,1.06390769
1041620260,13,10.45822248,13,2.34738851,3.357038344,2.953725769,3.994025192,10.45822248,0.829871374
1041624310,15,10.98045894,15,2.396117233,3.621592407,3.070083134,4.848725461,10.98045894,1.0043601
1041629370,31,18.49046877,31,2.917255398,5.44795453,3.946459575,6.875693344,18.49046877,1.014973835
1041629430,22,14.70633325,22,2.688278234,4.548522095,3.532610197,6.081801707,14.70633325,1.011578737
2040000010,100,26.71866496,100,3.285362383,15.58910542,4.966842175,24.6086684,26.71866496,1.051418233
2040003550,59,36.51393126,59,3.597693866,11.37472568,7.284191908,23.82593347,36.51393126,0.92658037
2040003560,74,45.24909284,74,3.812182622,13.39433559,8.242406468,22.36766901,45.24909284,1.017791824
2040004130,51,28.75350724,51,3.358759751,10.26681856,5.665676393,22.36766901,28.75350724,0.977901501
2040004140,16,12.60080304,16,2.533760545,3.469362278,2.921091268,4.68523037,12.60080304,1.05844908
2040004280,37,16.67918779,37,2.814161702,7.653378914,3.606555665,20.93918059,16.67918779,0.984885587
2040004290,61,22.41152282,61,3.109575238,11.42486946,4.857202008,21.29756823,22.41152282,1.000714229
2040005120,62,26.71441691,62,3.285203379,12.09752606,5.618238053,21.3724564,26.71441691,0.985703102
2040005130,27,17.04524625,27,2.835871353,5.684789979,3.69134172,18.30943974,17.04524625,0.818258737
2040005690,38,20.10454082,38,3.000945701,7.592777951,4.140735289,17.98089791,20.10454082,1.014207956
2040006600,38,18.22276254,38,2.902671502,7.723341054,3.986499244,15.4248709,18.22276254,1.013371937
2040007930,45,31.54572703,45,3.451438145,9.416565306,6.654754588,16.6270868,31.54572703,1.002169096
2040007940,37,15.69900753,37,2.753597496,7.746302585,3.414151208,22.39744505,15.69900753,1.028750322
2040008490,68,31.81104947,68,3.459813697,12.89402011,6.251666959,23.39265765,31.81104947,1.004306479
2040008500,65,24.2850641,65,3.189861515,11.26389462,4.824774793,23.02034304,24.2850641,1.061167297
2040009230,129,53.8045547,129,3.985358123,19.9559823,9.383420249,23.96047638,53.8045547,1.068342378
2040012730,151,65.29672663,151,4.178941907,22.63208324,11.72835872,25.17648713,65.29672663,1.066589308
2040014550,113,44.84162518,113,3.803136841,18.7226785,9.577663421,26.01769044,44.84162518,1.065884139
2040016230,205,58.71253455,205,4.07265324,27.80132274,9.851272469,26.4839527,58.71253455,1.064987059
2040018240,47,32.38714399,47,3.477761554,10.15403633,6.908637283,22.83176315,32.38714399,1.009170105
2040018360,81,34.86870643,81,3.551589763,14.54605704,7.453849098,23.82697576,34.86870643,1.045097614
2040018370,29,10.92637547,29,2.391179634,6.409908593,3.106156753,16.17838945,10.92637547,1.020209195
2040018460,43,22.51572808,43,3.114214091,8.914694396,4.597513184,22.39744505,22.51572808,0.92960963
2040018470,50,21.89417526,50,3.086220632,9.387075876,4.427118962,21.93439319,21.89417526,1.017637206
2040018840,95,53.15383895,95,3.973190331,15.99528312,9.091823452,23.39265765,53.15383895,0.991766085
2040018850,89,59.10637683,89,4.079338818,15.79534112,11.12347118,24.8016797,59.10637683,1.046923766
2040019150,126,32.95396037,126,3.495111447,19.0158359,5.79645432,26.01769044,32.95396037,1.04326585
2040019160,135,63.10446748,135,4.144791567,20.93163822,11.30250533,26.01769044,63.10446748,1.05020074
2040020320,182,63.04844156,182,4.143903345,25.48210043,10.59486594,26.45096626,63.04844156,1.069336099
2040021030,182,51.85706372,182,3.948491159,25.37410784,8.859507669,26.45096626,51.85706372,1.070686974
2040021040,136,61.57201483,136,4.120207463,20.69991797,10.76817981,26.45096626,61.57201483,1.074969959
2040022150,167,30.25238842,167,3.409575137,23.42561344,5.505040505,26.45096626,30.25238842,1.053473661
2040022160,167,33.64408777,167,3.515837343,23.23886655,6.227009102,25.04194421,33.64408777,1.055984761
2040023010,196,46.96547403,196,3.849412737,26.7880101,8.313098956,26.4839527,46.96547403,1.065220707
2040023020,159,32.61335954,159,3.484722006,22.51026234,6.261503607,26.45096626,32.61335954,1.058748299
2040024170,160,65.06298239,160,4.175355761,23.64915575,11.43677863,26.45096626,65.06298239,1.071425839
2040024180,31,11.80379176,31,2.468420815,6.233376918,2.96305731,13.81431089,11.80379176,1.029096462
2040024230,124,44.48270243,124,3.795100404,19.39828349,8.768927277,25.04194421,44.48270243,1.072141024
2040026060,132,67.91306313,132,4.218228404,20.86676397,12.09049981,26.45096626,67.91306313,1.055134757
2040026070,16,12.40353627,16,2.517981615,3.690595818,3.106446097,6.850329744,12.40353627,0.94091871
2040026550,111,60.22503859,111,4.098088189,18.79780711,11.73447739,23.82593347,60.22503859,1.064318984
2040026560,55,34.92718202,55,3.553265381,10.69655391,7.152594506,18.13181636,34.92718202,0.988540722
2040026920,91,31.63989371,91,3.454418784,14.97083535,5.634396253,22.83072087,31.63989371,1.061113976
2040026930,73,26.78063746,73,3.287679144,12.53503269,4.938811238,22.83072087,26.78063746,1.052534409
2040027320,61,26.83860392,61,3.289841296,11.07530992,5.09827186,18.13181636,26.83860392,0.995504276
2040027330,128,50.43812697,128,3.920747377,19.91013609,8.845333535,24.04673161,50.43812697,1.068170239
2040028310,107,32.05927769,107,3.467586617,16.65467107,5.836663804,24.04673161,32.05927769,1.050614466
2040028320,82,35.68125853,82,3.57462558,13.67274871,6.348156741,24.04673161,35.68125853,1.068863761
2040028660,101,30.66492888,101,3.42311962,16.15813551,5.708913574,24.04673161,30.66492888,1.055462379
2040028670,118,43.51706207,118,3.773153093,18.28207321,7.730571457,24.04673161,43.51706207,1.06567729
2040029940,98,51.96373824,98,3.950546134,16.6857701,10.73541988,22.84594173,51.96373824,1.051355409
2040029950,92,51.96085788,92,3.950490702,16.15817475,10.48583267,23.84115434,51.96085788,1.029285686
2040030060,95,46.04163577,95,3.829546113,16.17375723,9.756843728,21.30064101,46.04163577,1.055744472
2040030100,119,60.27785974,119,4.098964868,19.30106908,11.92857677,24.8845273,60.27785974,1.064743225
2040030110,133,64.66384087,133,4.169202172,21.01091947,12.80501182,25.04194421,64.66384087,1.080516567
2040031060,106,48.72761318,106,3.886245875,17.80513836,10.24207143,23.84115434,48.72761318,1.068997097
2040031070,133,61.86500887,133,4.124954735,20.89578201,12.24093334,25.04194421,61.86500887,1.07727006
2040031490,129,62.88879301,129,4.141367976,20.43893915,12.3585264,25.04194421,62.88879301,1.075353694
2040031500,134,60.7772106,134,4.107214893,20.67811891,11.32596866,25.04194421,60.7772106,1.076175775
2040033320,128,58.58413103,128,4.070463858,20.12388857,11.80193551,25.04194421,58.58413103,1.073625236
2040033330,106,58.88697704,106,4.075619963,17.78584114,11.7396909,25.04194421,58.88697704,1.073280405
2040033480,136,59.7969855,136,4.09095525,20.97076002,11.81597307,25.04194421,59.7969855,1.077077359
2040037990,96,48.13028928,96,3.873911694,16.70181913,10.26201683,21.57963279,48.13028928,1.066070104
2040039390,78,45.72957779,78,3.822745305,14.69116748,10.02040596,18.87262204,45.72957779,1.003013839
2040039400,43,31.83291454,43,3.460500803,9.44453639,7.530939003,17.77109632,31.83291454,0.971203444
2040039590,35,17.24629738,35,2.847597476,8.177015503,5.530311091,14.57162917,17.24629738,0.986667713
2040041120,89,52.03588054,89,3.951933491,15.92002801,10.9333665,21.55811559,52.03588054,1.059402169
2040041840,20,17.00123394,20,2.833285926,7.503562675,6.60216179,18.18282819,17.00123394,0.628430631
2040045150,71,31.58564491,71,3.452702742,12.14997259,5.993081963,21.93439319,31.58564491,1.066753348
2040046500,77,42.72748136,77,3.754842305,14.55195751,9.232729653,24.6086684,42.72748136,1.028712319
2040047500,107,50.14715245,107,3.914961732,17.21261667,9.197454342,24.6086684,50.14715245,1.067920766
2040048590,21,9.283226838,21,2.228209206,4.98505867,2.819923087,11.55453911,9.283226838,0.978462899
2040048790,144,40.74112477,144,3.707238019,21.54984275,8.068114697,25.04194421,40.74112477,1.065280301
2040054200,99,31.36656192,99,3.445742418,15.94955038,6.6485091,24.04673161,31.36656192,1.061774412
2040056770,60,28.25381935,60,3.341228647,10.69646484,5.51186703,17.08829159,28.25381935,1.062187156
2040059370,33,19.69907928,33,2.980571897,8.789653142,6.629696291,20.16310873,19.69907928,1.039915563
2040065840,16,10.46885472,16,2.348404632,3.904420563,3.019299171,7.90983101,10.46885472,0.705224941
2040065960,17,13.99031798,17,2.638365517,3.975633262,3.378590993,8.444875147,13.99031798,0.911265743
2040066030,22,13.45633699,22,2.599450147,4.825258207,3.277913543,9.544681802,13.45633699,0.830016603
2040067740,23,19.89406575,23,2.990421484,5.986540373,4.871461709,12.98396778,19.89406575,0.625561029
2040068680,32,24.10605,32,3.182462846,7.907473926,6.365827616,15.47120206,24.10605,0.783867331
2040068720,28,20.54051431,28,3.022399244,6.822224702,5.057884137,14.86670515,20.54051431,0.963746734
2040069150,47,29.63501049,47,3.388956449,9.921594938,6.612249541,23.39265765,29.63501049,0.989664478
2040069160,25,16.95018489,25,2.830278741,4.958625984,3.602343029,11.98404931,16.95018489,1.01295946
2040070050,54,21.24754706,54,3.056241456,10.03530217,4.281144494,22.36766901,21.24754706,1.045633473
2040070060,26,16.93911493,26,2.829625441,5.341058899,3.743048027,16.39930694,16.93911493,0.962437585
2040070510,20,14.97240373,20,2.706208755,6.764703982,5.412504434,17.87616392,14.97240373,0.938961484
2040070520,55,29.44859575,55,3.382646226,10.53059091,5.870978143,23.39265765,29.44859575,0.958493849
