"","Assemblage","qFD","Assemblage.1","qFD.1","Assemblage.2","qFD.2"
"1","1040008480",5.528477154278,"1040008480",3.92133725871683,"1040008480",3.28058926333701
"2","1040009450",6.73772180376877,"1040009450",5.17206499601617,"1040009450",4.31037664589989
"3","1040011660",3.46941527893337,"1040011660",2.95459227769841,"1040011660",2.7338668182232
"4","1040011670",6.10699011622263,"1040011670",4.54982305629795,"1040011670",3.73601973784909
"5","1040012680",7.19693067765341,"1040012680",4.86777873095684,"1040012680",3.94319597687825
"6","1040012690",4.85430271112649,"1040012690",3.45226186315237,"1040012690",2.95992869336887
"7","1040012810",6.85253948665661,"1040012810",5.14429666329203,"1040012810",4.30756157024049
"8","1040012820",7.68837174156829,"1040012820",5.06839561799105,"1040012820",4.15860818608709
"9","1040014500",5.25003799426791,"1040014500",3.57133403838269,"1040014500",3.104952843262
"10","1040014920",4.30245652994071,"1040014920",3.45324246371658,"1040014920",3.03510363197112
"11","1040014930",6.36828812905168,"1040014930",4.25165879947694,"1040014930",3.58264614221642
"12","1040015030",7.63943537080201,"1040015030",3.89595074647072,"1040015030",3.11142336638781
"13","1040015860",4.90686666454667,"1040015860",3.61041613396472,"1040015860",3.18193987349763
"14","1040018120",5.11910833491384,"1040018120",4.23145098511112,"1040018120",3.74921750910992
"15","1040019430",4.47513452497523,"1040019430",3.73640417487899,"1040019430",3.33852587408647
"16","1040020570",8.712462689349,"1040020570",5.40786364318504,"1040020570",4.48504156991977
"17","1040020580",5.23168665673131,"1040020580",4.4149913939128,"1040020580",3.93302227207525
"18","1040022430",15.1340573559053,"1040022430",9.47500460851704,"1040022430",7.72604019938138
"19","1040023310",6.23521095467511,"1040023310",4.54693263178262,"1040023310",3.63259132566589
"20","1040024080",9.00209081916083,"1040024080",5.58763877476775,"1040024080",4.40302391355866
"21","1040026800",4.01185781948455,"1040026800",3.30501029362116,"1040026800",2.93631041550024
"22","1040028960",4.67078518650975,"1040028960",3.2069144374361,"1040028960",2.62861632850257
"23","1040028970",8.68459960790243,"1040028970",5.10026010287413,"1040028970",4.10132989896008
"24","1040029430",7.35927312426184,"1040029430",4.94956194091226,"1040029430",4.06084240958544
"25","1040029700",6.71237988243574,"1040029700",4.68238338054984,"1040029700",3.85869181846634
"26","1040029710",3.37488511328314,"1040029710",3.05097997342436,"1040029710",2.79372992346915
"27","1040029810",13.1037769578485,"1040029810",6.90894532390039,"1040029810",4.93623528035229
"28","1040034260",3.28744214670508,"1040034260",2.86351391722857,"1040034260",2.70721911860646
"29","1040034270",2.70066839727837,"1040034270",2.33383356981831,"1040034270",2.20494976782027
"30","1040034610",4.55453592248097,"1040034610",2.61501590374016,"1040034610",2.44359857576676
"31","1040034900",3.23760890878115,"1040034900",2.88466881577838,"1040034900",2.73728172925036
"32","1040035590",3.40418729506428,"1040035590",2.92828096840914,"1040035590",2.65513659135435
"33","1040036860",4.21544243711522,"1040036860",3.34458435819445,"1040036860",2.8704234906227
"34","1040036870",8.68150342293066,"1040036870",4.81993373744203,"1040036870",3.51647204721254
"35","1040040050",3.40086984444461,"1040040050",2.89642187583573,"1040040050",2.60563109822722
"36","1040040200",3.13114840659514,"1040040200",2.80999811395173,"1040040200",2.61621609235541
"37","1040040240",4.43487565531843,"1040040240",3.55528838030266,"1040040240",3.23753105970265
"38","1040040320",4.15319551122014,"1040040320",3.43244164197472,"1040040320",3.07438858120054
"39","1040040340",2.78220297316807,"1040040340",2.50345161743945,"1040040340",2.35522504500618
"40","1040040520",4.99393658817669,"1040040520",3.38341929381493,"1040040520",2.77290906261021
"41","1040041020",3.77379767686833,"1040041020",3.21134068367046,"1040041020",2.86451859927764
"42","1040601190",3.74995590062271,"1040601190",3.11516052116509,"1040601190",2.89900523294306
"43","1040601200",4.26100358363299,"1040601200",3.38916541162834,"1040601200",3.04633253877902
"44","1040837890",11.405943388159,"1040837890",5.6196536733256,"1040837890",4.36045930656423
"45","1040873640",5.71723610654093,"1040873640",4.20957364823597,"1040873640",3.57515289912776
"46","1040909890",14.9447294517633,"1040909890",10.0599969679626,"1040909890",8.11167367797132
"47","1041156960",8.49826794785753,"1041156960",5.90743723922203,"1041156960",4.8244231204437
"48","1041174950",4.63991405945419,"1041174950",3.75748107650335,"1041174950",3.27984593792825
"49","1041259940",7.85485088142592,"1041259940",4.4918433834045,"1041259940",3.43679747951514
"50","1041259950",4.57616187184401,"1041259950",3.94677659770299,"1041259950",3.63445014527513
"51","1041431480",5.0174415576921,"1041431480",3.69284834011939,"1041431480",3.06464703807904
"52","1041431680",5.19587412000657,"1041431680",4.22617069799595,"1041431680",3.75224593177079
"53","1041438780",5.04199995776802,"1041438780",3.7598347001846,"1041438780",3.21311132421711
"54","1041438860",5.96252877507941,"1041438860",4.45621372033972,"1041438860",3.81460862978001
"55","1041472390",4.90323739053118,"1041472390",3.85577964520012,"1041472390",3.3402261173364
"56","1041472430",5.97572640477556,"1041472430",4.4470331214406,"1041472430",3.75043449923804
"57","1041473880",6.40674559889294,"1041473880",5.01824210852926,"1041473880",4.42260977886982
"58","1041473950",6.09170913966666,"1041473950",4.73526897310884,"1041473950",4.27038649221988
"59","1041477980",5.66729201500633,"1041477980",4.6957274388862,"1041477980",4.17432118240506
"60","1041478080",4.21754462849698,"1041478080",3.26855902056235,"1041478080",2.84715759834949
"61","1041515680",7.63941225799428,"1041515680",4.75521845782455,"1041515680",4.17811874750644
"62","1041515780",4.9632789384176,"1041515780",3.80987752658456,"1041515780",3.54120852783653
"63","1041533130",4.12282999911537,"1041533130",3.40378923291922,"1041533130",3.06399276491384
"64","1041548760",6.26593412231142,"1041548760",4.56337751990846,"1041548760",3.86350107251054
"65","1041576090",6.96581749411589,"1041576090",4.86426747675754,"1041576090",3.9208288226972
"66","1041576130",7.4546057784589,"1041576130",4.67794507810341,"1041576130",3.77135642368335
"67","1041620200",3.66848235700679,"1041620200",3.15784213938536,"1041620200",2.96641449562494
"68","1041620260",3.35703834363861,"1041620260",2.9537257694067,"1041620260",2.7651138003533
"69","1041624310",3.6215924074254,"1041624310",3.07008313437536,"1041624310",2.82700988248602
"70","1041629370",5.44795452986023,"1041629370",3.94645957471001,"1041629370",3.42819615326268
"71","1041629430",4.54852209545565,"1041629430",3.53261019675705,"1041629430",3.12415314220941
"72","2040000010",15.5891054175534,"2040000010",4.96684217514106,"2040000010",3.84918185150419
"73","2040003550",11.3747256826994,"2040003550",7.28419190795,"2040003550",5.77122951654203
"74","2040003560",13.394335591092,"2040003560",8.24240646777777,"2040003560",6.36229080147085
"75","2040004130",10.2668185578758,"2040004130",5.6656763925481,"2040004130",4.32223359139618
"76","2040004140",3.46936227822495,"2040004140",2.92109126776426,"2040004140",2.61060412687992
"77","2040004280",7.65337891368934,"2040004280",3.60655566483056,"2040004280",2.85194899717723
"78","2040004290",11.4248694643675,"2040004290",4.85720200802272,"2040004290",3.45685498245429
"79","2040005120",12.0975260618259,"2040005120",5.61823805323667,"2040005120",3.99374899561299
"80","2040005130",5.68478997910594,"2040005130",3.69134171997412,"2040005130",3.13981388834169
"81","2040005690",7.59277795106895,"2040005690",4.14073528896215,"2040005690",3.34808757661621
"82","2040006600",7.7233410542423,"2040006600",3.98649924424499,"2040006600",3.22303567648175
"83","2040007930",9.41656530642314,"2040007930",6.65475458761519,"2040007930",5.49280756175153
"84","2040007940",7.74630258529902,"2040007940",3.41415120827862,"2040007940",2.84297743764151
"85","2040008490",12.8940201124696,"2040008490",6.2516669593328,"2040008490",4.35218546707825
"86","2040008500",11.2638946185704,"2040008500",4.82477479272043,"2040008500",3.87183213011533
"87","2040009230",19.9559822973252,"2040009230",9.38342024912721,"2040009230",6.78396700510543
"88","2040012730",22.6320832436969,"2040012730",11.7283587215339,"2040012730",8.56749978278389
"89","2040014550",18.7226785040843,"2040014550",9.57766342109698,"2040014550",6.79588777575391
"90","2040016230",27.8013227441723,"2040016230",9.85127246942806,"2040016230",6.73709692514637
"91","2040018240",10.1540363270949,"2040018240",6.90863728328675,"2040018240",5.5593415289632
"92","2040018360",14.5460570414748,"2040018360",7.45384909842097,"2040018360",5.33167327504815
"93","2040018370",6.40990859275359,"2040018370",3.10615675281449,"2040018370",2.67727144787179
"94","2040018460",8.91469439556144,"2040018460",4.59751318383175,"2040018460",3.48788551242256
"95","2040018470",9.38707587617766,"2040018470",4.42711896247508,"2040018470",3.42624986776406
"96","2040018840",15.9952831151165,"2040018840",9.09182345237878,"2040018840",6.65446002734668
"97","2040018850",15.7953411199948,"2040018850",11.1234711840605,"2040018850",9.06626499080811
"98","2040019150",19.0158358977078,"2040019150",5.79645432043577,"2040019150",4.82175055580803
"99","2040019160",20.9316382210325,"2040019160",11.3025053258859,"2040019160",8.05656107206883
"100","2040020320",25.4821004271978,"2040020320",10.5948659395823,"2040020320",7.41993823643144
"101","2040021030",25.374107840595,"2040021030",8.85950766935263,"2040021030",5.93299798267984
