,HYBAS_ID,Site_num,Sam_eff
283,3040483880,171,226.6182932
284,3040496490,512,735.2171454
285,3040679750,308,2037.572034
286,3040679760,274,1963.286542
287,4040000890,727,4501.004523
288,4040003020,49745,502159.7564
289,4040005050,21099,835759.5275
290,4040005060,2110,39236.03169
292,4040007410,504,2333.711481
294,4040009890,1063,5006.230709
296,4040012290,7409,409567.8228
297,4040012770,194,5823.849565
299,4040012990,1549,3836.012805
300,4040013000,159,1769.95879
301,4040015000,605,4295.346613
302,4040015010,212,29543.33254
303,4040015090,313,1610.920912
304,4040017030,2526,10728.88913
305,4040018350,11115,37926.2998
306,4040023060,193,724.7672108
307,4040023810,81,215.226619
309,4040025460,3339,16282.84854
310,4040027100,461,3401.591443
312,4040027780,405,1304.863888
314,4040027940,968,3740.568396
315,4040027950,2130,14805.51599
316,4040028760,2374,30292.66749
318,4040029530,8569,27044.6927
322,4040037060,119,1391.711946
323,4040039450,2077,7021.216107
324,4040045780,135,1534090.909
326,4040046370,10173,276512.351
327,4040047500,208,6010.813685
329,4040048900,2565,38338.51489
330,4040050240,334,1024.938849
331,4040050300,101,419.0049007
335,4040095270,177,701.8033571
337,4040169400,932,4761.627414
338,4040223160,72,368.2596967
339,4040234270,57,1086.279151
342,4040298550,151,1303.645892
345,4040484760,160,872.8202678
346,4040545530,211,5451.252626
349,4040627620,334,2471.518341
354,4040748300,824,4984.698066
355,4040773260,1913,11777.77983
356,4040783120,1253,1221.367319
358,4040839030,92,2216.86747
360,4040960200,703,3792.873498
361,4040960480,1633,1711.370501
362,4040975160,1491,17458.81196
363,4041043580,2484,10717.60029
365,4041108500,267,1625.366925
366,4041108580,627,5230.841106
368,4041128330,170,2151.503838
369,4041144860,88,3314.288727
370,4041144880,1055,11954.13239
371,5040000010,548,3385.750685
377,5040007690,2922,20792.00312
378,5040011800,669,12586.71001
379,5040014020,1106,27099.20859
383,5040017040,101,2172.84673
384,5040017830,766,3119.779155
385,5040022500,407,1332.578969
386,5040031240,452,2303.276258
389,5040041880,162,496.7192003
391,5040049720,4706,15387.52296
392,5040055960,1751,28243.75766
393,5040056460,1493,11637.66863
394,5040056470,470,9077.547363
395,5040056740,128,1248.03897
396,5040056750,208,4313.786488
397,5040057320,135,1832.463931
398,5040057330,140,2740.305192
399,5040057720,582,3311.970554
401,5040059440,128,1337.574559
402,5040059450,628,3152.388888
403,5040061660,78,771.6690608
404,5040061670,6528,31779.24331
405,5040064130,123,1587.619152
406,5040064140,375,2099.155132
407,5040065600,144,1335.98923
408,5040067860,10632,394397.1273
409,5040068450,837,6417.186098
410,5040068460,2399,102738.2594
411,5040069590,1903,13504.91123
412,5040069600,704,47724.93085
413,5040069960,705,21227.33117
414,5040069970,20824,429373.219
415,5040070700,1951,88080.4688
416,5040070710,59422,249437.8183
417,5040073410,414,4183.914365
418,5040073420,1472,52848.316
422,5040076530,119,5044.510386
423,5040076890,111,20591.01786
424,5040077640,2174,31322.6696
425,5040079730,138,7002.765585
427,5040082270,61534,403507.725
429,5040085040,57988,497111.0159
440,5040491370,285,1116.181141
442,5040491510,192,460.7201296
444,5040511570,802,8390.455386
446,5040524870,3608,14835.91063
447,5040533380,64,1197.992614
450,5040591050,20516,59095.15512
452,6040000740,6323,24250.71318
453,6040000750,1576,5928.293231
455,6040005190,244,3470.074166
456,6040005490,1335,20102.60611
457,6040005500,361,3744.409317
458,6040006470,94,2211.915637
459,6040007010,317,2912.673991
460,6040007960,1654,19951.36403
461,6040008320,783,2868.547965
463,6040009770,424,1476.501513
466,6040012800,121,1809.654281
467,6040013420,150,1808.625698
468,6040013430,292,13816.86036
469,6040013750,413,7216.078751
470,6040013760,5130,227743.9146
471,6040014330,511,5407.573354
473,6040015940,131,2330.450809
474,6040015950,142,3603.411568
475,6040016720,196,2757.693049
476,6040016760,417,1566.883964
478,6040016970,242,1629.722913
479,6040016980,1793,92361.74071
482,6040019090,127,933.25397
485,6040025130,496,40344.22736
486,6040025140,292,22413.26374
487,6040025420,450,9039.212102
488,6040026140,483,8022.243039
491,6040029280,92,314.6486742
492,6040032290,985,4693.878135
493,6040034810,1325,118065.3325
494,6040040460,973,3156.677281
497,6040075410,117,1271.088388
498,6040084750,132,944.5614015
499,6040102250,601,5500.298352
500,6040102330,69,691.1438431
502,6040239720,953,4726.357303
503,6040239820,127,247.4222787
504,6040262110,569,1456.917117
505,6040262220,275,556.0799558
506,6040280400,1956,2736.665228
507,6040280410,2317,1045.263802
508,6040285930,276,44392.97433
509,6040285990,1742,1272.601367
510,6040345000,80,259.4578045
511,6040527670,245,3976.388368
512,6040527680,45,334.0809322
515,6040709810,112,500.9307472
516,6040709820,103,717.8625816
517,6040752460,180,866.7893976
519,6040814820,2239,1931.169463
520,6040814830,323,1173.314115
521,6040870370,319,1412.478785
522,6040870380,179,1113.125239
524,7040000010,5071,22322.32272
525,7040005410,475,4060.384326
526,7040005420,1841,30126.24878
527,7040006390,1180,8801.254253
528,7040006400,1719,14797.67472
529,7040007380,866,24853.2767
530,7040007390,699,27658.41267
531,7040007830,665,8599.908957
532,7040007840,1034,8896.322567
534,7040008720,29172,164633.4856
535,7040013170,1497,134926.8583
536,7040013180,24892,2188596.298
537,7040013550,28085,179692.7085
538,7040013560,11536,826491.2809
539,7040014040,3730,398248.9857
540,7040014050,717,237905.6341
541,7040014200,6329,154763.7096
542,7040014210,858,399218.3138
543,7040014250,15534,344943.2089
544,7040014930,1996,163113.2068
545,7040014940,5109,96453.0063
546,7040016260,5382,23316.00157
547,7040016270,4876,34822.99975
549,7040019200,65,1756.486163
550,7040020100,327,4296.051836
551,7040021740,207,684.3058907
554,7040024580,1096,10173.84653
555,7040024600,345,7772.510994
556,7040024830,229,3466.876193
559,7040033480,1550,6634.580977
560,7040034520,1603,64812.45628
561,7040034530,8709,43772.1336
562,7040038340,24506,228089.6722
563,7040039620,8572,295589.2647
564,7040039630,3207,400189.6752
565,7040039870,4884,140383.9576
566,7040039880,64247,1077642.528
567,7040041050,6685,94182.12301
568,7040041060,10034,1057657.848
569,7040041400,8514,280838.0942
570,7040041410,16076,349769.482
571,7040042040,11212,111137.2136
572,7040043090,3676,89762.31057
573,7040043100,106,18051.1563
574,7040043160,3451,86860.43936
575,7040043170,40639,156856.4635
576,7040045890,3560,70153.86556
577,7040045900,4485,113463.2996
578,7040046590,5450,48432.04584
579,7040046600,1670,65262.92753
580,7040046750,3233,75252.3736
581,7040047060,1188,216843.7192
582,7040047070,3389,72587.15706
583,7040047850,9390,173388.3104
584,7040047860,647,356473.8292
585,7040047970,41800,906590.7849
586,7040047980,9562,650312.5064
587,7040048300,22644,190859.4152
588,7040048310,415,96457.791
589,7040048410,26772,241691.7338
590,7040048420,29889,258788.8553
591,7040049270,24013,41996.11396
592,7040049280,220,3575.201105
593,7040049990,1253,8177.901001
594,7040050000,1488,34829.66701
595,7040050640,295,7437.906091
596,7040050650,125,3705.77894
597,7040050920,656,5149.641841
598,7040050930,1519,3967.803067
599,7040054660,1801,43376.89488
600,7040054670,1161,38397.30127
601,7040059990,985,8615.961659
602,7040064730,2009,500410.9896
603,7040065760,3783,32869.27101
604,7040070790,167,2188.135067
605,7040072800,2616,189496.5592
606,7040073620,2147,15757.24305
607,7040073630,2970,35836.23925
609,7040073660,173,1694.923557
610,7040073690,2977,33144.43492
611,7040073710,2164,80843.09938
612,7040073720,9958,182538.7514
613,7040073780,876,19408.44134
614,7040073830,2008,32973.49312
615,7040073870,166,5524.494143
616,7040074080,140,6518.904824
617,7040192420,476,5625.526654
618,7040192560,7301,12450.81748
619,7040194860,417,2720.916211
620,7040194980,369,9798.454553
622,7040282720,352,14145.6926
623,7040282770,291,10189.86056
624,7040374800,1522,36245.77589
625,7040374950,11446,202111.5233
626,7040379310,3421,67255.80207
627,7040379430,12668,46983.21615
628,7040388580,484,13375.52334
