"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,21.0618,0.5006,42.0728,0,0.353188480992258,0.0174967070930695,0.493020179902183
"Nat_dis","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,2.5088,0.4312,5.8184,0,0.353188480992258,0.0174967070930695,0.493020179902183
"LSR","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,2.1021,0.606,3.4685,5e-04,0.353188480992258,0.0174967070930695,0.493020179902183
"IE_lmx","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,-0.7955,0.5093,-1.5621,0.1183,0.353188480992258,0.0174967070930695,0.493020179902183
"GTD","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,1.452,0.5964,2.4346,0.0149,0.353188480992258,0.0174967070930695,0.493020179902183
"Bio1","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,-1.5664,0.5519,-2.8381,0.0045,0.353188480992258,0.0174967070930695,0.493020179902183
"Str_gra","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,-1.7023,0.6683,-2.5473,0.0109,0.353188480992258,0.0174967070930695,0.493020179902183
"For_ext","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,2.8881,0.4888,5.9085,0,0.353188480992258,0.0174967070930695,0.493020179902183
"Area","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,2.4195,0.433,5.5875,0,0.353188480992258,0.0174967070930695,0.493020179902183
"GDP","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,-1.002,0.4376,-2.2894,0.0221,0.353188480992258,0.0174967070930695,0.493020179902183
"HDI","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,1.6158,0.5525,2.9246,0.0034,0.353188480992258,0.0174967070930695,0.493020179902183
"HMG","TDq2",3857.99533168145,3741.52623845079,3728.01546012135,2.0214,0.4801,4.21,0,0.353188480992258,0.0174967070930695,0.493020179902183
