"","my","null.aic","ini.aic","opt.aic","Estimate","Std..Error","z.value","Pr...z..","opt.r2","I.statistic","I.p.value"
"(Intercept)","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,31.9605,0.7638,41.8413,0,0.407818551984459,-0.00302587207634681,0.501207146464255
"Nat_dis","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,3.1263,0.6364,4.9122,0,0.407818551984459,-0.00302587207634681,0.501207146464255
"LSR","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,3.8139,0.8959,4.2571,0,0.407818551984459,-0.00302587207634681,0.501207146464255
"IE_lmx","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,-1.1278,0.7537,-1.4963,0.1346,0.407818551984459,-0.00302587207634681,0.501207146464255
"GTD","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,2.8209,0.8815,3.2001,0.0014,0.407818551984459,-0.00302587207634681,0.501207146464255
"Bio1","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,-2.4894,0.8233,-3.0236,0.0025,0.407818551984459,-0.00302587207634681,0.501207146464255
"Str_gra","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,-3.005,0.9856,-3.0489,0.0023,0.407818551984459,-0.00302587207634681,0.501207146464255
"For_ext","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,4.7523,0.7259,6.5467,0,0.407818551984459,-0.00302587207634681,0.501207146464255
"Area","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,4.5136,0.6395,7.058,0,0.407818551984459,-0.00302587207634681,0.501207146464255
"GDP","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,-1.4849,0.6452,-2.3016,0.0214,0.407818551984459,-0.00302587207634681,0.501207146464255
"HDI","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,3.4025,0.8291,4.1038,0,0.407818551984459,-0.00302587207634681,0.501207146464255
"HMG","TDq1",4280.63980432554,4139.29109221203,4127.56218887988,3.6854,0.7145,5.1579,0,0.407818551984459,-0.00302587207634681,0.501207146464255
