HYBAS_ID,Nat_dis,LSR,IE_lmx,Riv_a,GTD,Bio1,Bio2,Bio8,Bio12,Bio15,Elev_range,Str_gra,For_ext,Cro_ext,Area,GDP,HDI,HMG,HFP
4040015010,0.623,59,29,221.06,332,23.55045608,6.163690443,28.10760509,1726.922459,87.09742949,1048,248,35,39,7175.9,6133852.663,774,0.64075654,19.69899993
4040015090,37.407,97,17,2210.239,518,23.82178084,7.424521541,25.15807719,1745.9646,82.55316978,2549,211,25,37,194298.8,1823717.328,774,0.403906922,11.99596535
4040017020,0.005,11,47,40.417,13,27.49501886,7.464390553,27.31726222,1438.795563,71.46483647,1691,4,0,9,774281.5,1290750.219,762,0.502701435,16.73304485
4041144880,82.971,65,8,7081.036,485,27.12232284,8.87782087,27.23011236,1482.454401,80.33010297,1704,135,0,7,88254,328076.5487,748,0.351341284,10.22647337
4041144860,0.08,10,6,490.925,188,26.48535453,8.082935286,26.81450172,1911.14468,84.08315256,891,21,0,0,665658.8,63641.06374,692,0.249814358,7.912273516
4041128330,0,4,4,1047.373,356,24.20992453,7.880042466,25.04594814,2230.964206,94.04450068,2227,49,0,0,79015.2,95602.28151,694,0.22907217,6.844567927
4041128230,0,3,10,3.057,430,26.16220015,9.054528308,26.58588947,1975.288054,100.9962357,1550,45,0,0,560097.6,176780.7652,692,0.261232907,9.325311382
4041108500,0,3,25,398.037,226,24.05885758,9.59783488,26.12555157,1826.591159,96.94078189,2604,28,0,0,420814.6,220485.0067,726,0.320486618,10.13669281
4041108580,0.002,2,2,106.695,314,26.61632851,10.58644735,27.21960443,1250.849512,85.07178958,1185,45,0,0,119867.8,334180.1902,793,0.646687673,15.83854366
4041043580,0,4,11,183.475,114,12.21744433,11.9138143,17.35780342,1080.291895,86.99901964,5945,17,0,0,231768.3,180738.6957,794,0.25604267,9.270576949
4041043590,0,3,14,68.252,156,21.3087946,9.980425766,24.46381063,1640.485328,95.34687683,1554,27,0,0,26058,59089.97889,794,0.157510014,6.330772524
4040017030,0,5,13,497.587,31,26.32652377,10.06695286,26.70339528,1403.594396,81.86338601,2532,5,0,1,235439.1,3137898.115,794,0.488472223,13.07372985
4040018350,69.21,27,2,10558.662,160,26.04300955,8.623822267,25.64327607,2345.514846,57.85091189,2089,23,0,0,293068.4,3882823.837,794,0.372722547,12.40975823
4040022790,0.008,7,33,11.523,10,26.17484023,10.22645872,25.71067463,3856.045726,111.9742107,1667,3,0,9,10641.8,217195.5161,794,0.338823042,10.10323357
4040023050,18.681,27,2,11823.587,102,25.91856603,10.69521722,25.72016614,3033.556149,107.7143737,1914,17,0,2,9410,66567.38141,794,0.34521862,8.718208092
4040023060,0.076,6,34,28.628,18,11.63374938,11.75715607,16.58846975,1078.421511,90.000398,6626,2,15,5,266292.4,104363.3387,794,0.205220679,7.53875041
4040023070,332.599,53,1,62243.75,133,25.92802731,10.49041739,25.86536914,3801.33135,111.1141321,1679,36,6,36,5214.4,148749.8725,801,0.306670513,11.45522239
4040023210,0.004,11,11,12068.315,29,27.07757674,10.45778499,26.90921071,4556.144737,116.0721732,40,6,1,9,67,123784.7631,792,0.416897018,19.72753727
4040023220,8110.642,90,11,183153.703,129,25.21742481,10.8273429,25.80130561,1909.182764,95.03820076,2511,27,7,47,34265.1,136521.3117,793,0.380281405,11.4310982
4040023230,4119.174,250,4,228761.547,84,26.87960065,10.12628767,26.86313717,2615.725219,107.5453221,691,46,63,23,29950.4,3429796.966,796,0.47436147,15.82718609
4040023810,3497.675,142,6,36443.156,97,21.76556617,10.42821849,24.72640638,1732.526565,91.52025835,5521,26,54,30,376349.6,187693.9479,785,0.2831866,9.860690958
4040023820,2851.05,156,5,9986.535,105,26.66033001,9.4578232,26.77873749,2774.642968,110.3651162,1092,19,56,24,16617.7,214042.1151,788,0.468795579,14.91366117
4040024190,268.076,129,2,21039.496,167,23.83879427,8.901002264,25.71492243,3117.915083,107.0435364,2617,37,25,48,96502,736284.5112,779,0.312107749,10.60019423
4040025450,1479.619,207,9,78817.891,74,25.65102305,8.476748575,28.10796145,2224.745536,88.74719974,13,21,69,17,1574223.9,4166216.572,782,0.543934772,24.71724191
4040975160,1327.141,166,3,27376.799,94,23.34701792,9.546596681,26.55760946,2685.597843,88.3024649,2835,19,53,24,85401.1,4032204.305,782,0.521282092,15.63740956
4040975150,254.559,153,2,15658.499,115,25.66077446,9.495380815,28.62945003,1936.498873,84.56805998,15,26,26,48,1488646.5,980919.5495,776,0.684551375,21.72167714
4040960200,757.283,180,3,48092.031,141,17.8615377,9.912988799,22.35123628,1911.430411,93.85672533,8080,25,35,39,539868.5,485066.3604,808,0.398576123,12.95283675
4040960480,0.001,1,95,0.203,8,21.69186749,12.4943169,25.13601519,1062.32038,126.8810815,8423,3,22,29,954206,2383151.767,780,0.561282385,17.13409213
4040865930,18.638,7,3,2654.61,131,21.92647753,9.513955511,26.54247699,2513.628802,82.77053466,2570,14,0,13,320576.3,381070.7163,755,0.416153354,14.22933455
4040865800,0,24,7,4009.008,144,11.13167191,10.95186868,17.08445372,1388.881204,90.39075597,6809,28,2,30,33952.7,57786.98023,763,0.193329241,7.252598604
4040839030,381.998,273,2,13785.611,402,8.55912751,9.909273131,14.78431981,1460.804051,83.35800812,6119,298,23,23,41500,18819.98142,760,0.133028416,4.150851291
4040838850,0.008,139,2,7419.764,557,0.249178485,13.01058642,6.150793179,464.997469,95.27850871,6994,309,11,12,257277.4,99219.07936,766,0.10297571,5.967700303
4040025460,703.49,127,4,44480.746,435,25.83801046,10.37380464,28.04821327,1513.464605,106.5311014,1227,250,8,25,205062.4,3591985.478,762,0.602368149,18.42836876
4040027100,0.039,157,15,2376.167,357,26.15792168,11.34730562,26.92895595,1361.078128,128.4087683,1254,206,17,37,135526.1,790374.0653,766,0.549094855,16.8153893
4040027110,313.72,157,4,16950.189,526,26.19165113,8.748470149,27.21673498,1333.079492,96.16094007,1467,253,1,14,57148.5,1744430.354,774,0.540844929,16.60160977
4040027780,1.898,235,25,5045.319,647,26.2895222,12.1550667,26.33400096,1129.241407,123.4271482,1521,425,34,14,310380.1,815272.0625,774,0.576301472,17.40773449
4040027790,0.004,94,9,190.328,417,27.96039422,8.919442251,28.45993042,1094.48969,102.8868543,673,44,0,0,13671.6,1213460.687,492,0.662062742,20.20095818
4040027940,71.661,92,1,5636.78,546,26.06830054,11.68263085,25.5294291,880.6520161,103.4599145,1808,96,1,3,258784.2,2405970.731,492,0.608529485,18.63253254
4040027950,0.035,61,1,1199.271,394,27.48324044,10.28655694,26.95256329,808.730752,86.95754243,1621,52,0,0,143865.3,3838568.666,492,0.580142639,18.77200447
4040028760,41.758,62,1,3284.838,499,25.13550697,10.25946727,24.34658048,971.6550896,87.99322074,2535,90,0,1,78369.8,4959777.46,542,0.610687476,19.06679165
4040028770,0.193,82,4,10878.726,474,28.27961119,9.0587093,26.92819568,956.9441419,81.49246906,2455,100,0,0,45136.8,1304477.858,773,0.656982597,19.99848617
4040029530,53.425,36,10,4027.59,558,26.14488241,11.91490032,26.29402556,1700.385547,135.470124,2519,163,0,6,316845.9,2964190.411,774,0.551432971,17.43023605
4040031750,0.676,37,25,1471.892,429,26.98196116,13.2933025,28.48562203,755.358588,151.9825385,57,134,0,4,1892,2609788.724,774,0.728301931,21.31692285
4040031820,119.877,76,34,8124.603,523,26.65459369,13.57748846,28.1016717,710.0117879,153.3184136,1038,118,0,6,29977.5,6109228.796,774,0.625117818,18.0017297
4040031830,0.002,139,44,12317.941,412,26.94691935,12.70940539,28.48380676,627.3797716,147.244016,535,151,2,15,23549.7,676531.0533,774,0.593563345,18.01288748
4040032410,2956.064,33,24,2746.445,8,26.4631967,12.13365932,28.20327521,669.709643,155.734407,893,2,1,5,10473.4,584276.567,668,0.612665519,17.96844615
4040032420,748.225,291,30,34521.27,489,26.48274781,11.46595513,28.7918289,538.1760201,160.1194899,486,245,4,18,14719.8,2462741.253,774,0.52195238,17.6173771
4040032880,2209.075,17,14,4215.677,148,26.9712084,14.12135724,28.68289474,575.0330072,156.424683,1569,11,0,2,29277.9,613809.3132,665,0.530246405,15.51335057
4040032890,2248.813,51,42,170.103,10,26.71049457,12.4048602,28.79635018,411.6303355,163.0145001,301,0,0,11,11393.5,749461.8126,649,0.369641302,12.91942833
4040033430,245.717,198,18,18776.029,457,26.31257791,15.11318888,31.03007436,300.0044618,138.6467057,1779,154,2,31,400310.7,525663.9572,772,0.475387487,12.01755288
4040033440,756.199,19,20,15490.555,114,26.39378242,10.80628479,29.3109612,245.6738044,166.9507046,11,15,0,12,5868.8,25940.92335,689,0.275246304,7.949064797
4040033640,1527.128,226,27,83927.023,349,26.69189192,14.54566409,31.5756735,181.802961,140.5306914,1044,150,1,26,854649.9,1558098.234,702,0.425358624,13.81240551
4040879050,821.153,85,12,74562.266,273,25.17143761,14.98819245,32.44629556,186.2820828,100.6472011,2006,92,1,16,740522.9,271905.1532,655,0.450754495,12.94431227
4040879040,0,23,5,2674.484,143,23.24637271,14.65754527,28.18282423,181.693615,83.46135175,3378,20,0,1,97710.9,105702.9939,691,0.336466686,8.006925122
4040794590,0.003,9,6,2185.574,175,19.17746252,13.60727729,21.65281897,382.0421935,74.75637317,4490,18,0,2,419633.3,456914.8731,831,0.378239171,10.10980013
4040794730,0,6,6,988.168,63,15.14377556,12.72195299,20.78526261,630.003254,90.44425223,6486,8,0,0,290471.3,1174444.861,847,0.511468639,14.84290565
4040648310,0,24,5,4985.198,402,9.031172776,11.91738867,4.739536182,591.3027768,72.73076299,7101,64,0,2,92571.6,567319.6214,820,0.329462636,11.44796159
4040648320,10.282,37,3,2126.304,265,2.185082938,11.27643215,3.584734191,426.0486928,48.88560572,7537,43,0,0,201574.9,105326.6448,796,0.225280472,9.611913583
4040607260,0.001,14,27,152.372,79,-6.014211819,12.66820851,4.625387998,80.39504618,102.2150164,4931,12,0,0,66467.4,1451.962484,796,0.05006809,1.806337511
4040607420,0,16,7,763.735,145,-3.634959565,12.55856064,3.310481238,175.2437197,85.19064636,4349,16,0,0,72730.3,16752.90047,796,0.083796639,3.062006062
4040033650,0,14,6,1083.155,355,25.14024265,14.23619278,30.41402001,258.6629489,119.1007531,2155,78,0,0,35396.3,9441213.522,756,0.255697039,7.855425832
4040034510,0,24,3,674.319,517,-0.700222093,8.511659748,9.755929717,729.2717099,40.12838629,1426,63,0,0,74997.4,62778.78227,482,0.076149199,5.725246909
